city,homicide,rape,robbery,assault,prog_narrow,prog_broad,violent_crime
Albuquerque NM,76,490,1435,5610,0,0,7611
Arlington TX,22,233,360,1507,0,0,2122
Atlanta GA,157,106,875,2329,0,0,3467
Aurora CO,39,324,778,2264,0,0,3405
Baltimore City MD,335,235,3528,5287,1,1,9385
Baltimore County MD,33,344,877,2559,0,0,3813
Boston MA,57,179,929,2715,1,1,3880
Buffalo NY,65,56,705,1583,0,0,2409
Charlotte-Mecklenburg NC,122,253,1827,5866,0,0,8068
Chicago IL,771,1346,7869,16597,1,1,26583
Cincinnati OH,94,249,777,914,0,0,2034
Cleveland OH,176,501,2016,3178,0,0,5871
Columbus OH,174,711,1874,2789,1,0,5548
Dallas TX,252,485,3457,7986,1,1,12180
DeKalb County GA,121,159,953,1987,1,1,3220
Denver CO,95,581,1222,4292,1,1,6190
Detroit MI,327,609,1843,12003,0,0,14782
El Paso TX,16,211,275,1359,0,0,1861
Fairfax County VA,15,66,315,200,1,1,596
Fort Worth TX,115,517,891,2847,0,0,4370
Fresno CA,74,152,989,2251,0,0,3466
Honolulu HI,18,252,737,1269,0,0,2276
Houston TX,413,1193,8816,19356,1,1,29778
Indianapolis IN Metro,214,436,2150,3641,0,0,6441
Jacksonville FL,171,355,921,3811,1,1,5258
Kansas City MO,176,253,1248,3726,0,0,5403
Las Vegas NV Metro,99,1118,1700,6139,0,0,9056
Long Beach CA,36,242,721,1341,0,0,2340
Los Angeles CA,356,1979,8021,18530,0,0,28886
Louisville KY Metro,173,201,1242,5182,0,0,6798
Memphis TN,289,340,2138,6989,0,0,9756
Mesa AZ,20,289,366,1265,0,0,1940
Miami FL,67,184,626,956,0,0,1833
Miami-Dade FL,111,636,953,4588,0,0,6288
Milwaukee WI,190,486,2082,7175,1,1,9933
Minneapolis MN,82,436,1932,3867,0,0,6317
Montgomery County MD,18,342,468,810,0,0,1638
Nashville TN Metro,117,478,1795,5852,1,1,8242
Nassau County NY,14,45,357,887,1,0,1303
Newark NJ,52,126,421,1261,0,0,1860
Oakland CA,102,198,2374,3263,0,0,5937
Oklahoma City OK,52,493,700,2803,0,0,4048
Omaha NE,37,351,464,2180,0,0,3032
Orlando FL,32,175,493,1768,1,1,2468
Philadelphia PA,499,844,4594,9170,1,1,15107
Phoenix AZ,200,1068,3278,9113,0,0,13659
Pittsburgh PA,46,41,470,1001,0,0,1558
Portland OR,54,338,984,2577,1,0,3953
Prince George's County MD,94,193,962,1061,1,1,2310
Raleigh NC,27,159,495,901,1,0,1582
Sacramento CA,44,125,879,2501,0,0,3549
Salt Lake City UT,17,221,495,944,0,0,1677
San Antonio TX,128,1164,2100,7860,1,1,11252
San Diego CA,55,485,1207,3556,0,0,5303
San Francisco CA,48,205,2391,2165,1,1,4809
San Jose CA,40,566,1185,2584,0,0,4375
Seattle WA,53,259,1487,2778,1,0,4577
St. Louis County MO,40,198,335,1603,1,1,2176
St. Louis MO Metro,264,152,1236,4247,1,1,5899
Suffolk County NY,30,98,291,699,1,0,1118
Tampa FL,41,101,325,1652,1,1,2119
Tucson AZ,66,463,985,2333,0,0,3847
Tulsa,82,358,763,3468,0,0,4671
Virginia Beach VA,17,97,146,302,0,0,562
Washington DC,198,169,1997,1628,0,0,3992
Wichita KS,59,435,488,2960,0,0,3942
